Attention,Meditation,Low-Alpha,Hight-Alpha,Low-Beta,High Beta,Low-Gamma,Mid-Gamma,Raw-Value,Delta,Theta,Class
75,37,11792,14372,9812,8344,9555,11212,66,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,51,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,101,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,73,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,92,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,55,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,73,21567,86209,1
75,37,11792,14372,9812,8344,9555,11212,83,21567,86209,1
81,47,30129,12267,10084,8545,6923,4977,61,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,98,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,45,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,53,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,-6,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,6,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,86,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,52,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,25,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,38,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,18,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,48,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,57,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,369,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,180,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,166,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,-51,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,-362,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,-254,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,-99,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,17,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,108,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,96,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,91,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,117,42767,19900,1
81,47,30129,12267,10084,8545,6923,4977,57,42767,19900,1
77,47,6269,14891,13967,10742,4328,1835,55,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,144,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,85,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,28,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,33,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,69,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,33,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,58,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,92,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,43,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,100,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,61,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,100,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,66,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,-1,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,68,951293,62745,1
77,47,6269,14891,13967,10742,4328,1835,6,951293,62745,1
